"Open time" "Open" "High" "Low" "Close" "Volume" "Close time" "Quote asset volume" "Number of trades" "Taker buy base asset volume" "Taker buy quote asset volume" "Ignore"
"1606909260000" "19193.92000000" "19193.92000000" "19141.41000000" "19147.81000000" "43.57343000" "1606909319999" "835198.72422236" "1185" "25.77767500" "494203.66258444" "0"
"1606909320000" "19147.79000000" "19162.68000000" "19117.40000000" "19160.55000000" "39.75487600" "1606909379999" "760964.24861524" "1292" "21.41869000" "409942.41905731" "0"
"1606909380000" "19160.55000000" "19162.98000000" "19125.00000000" "19149.66000000" "34.42605900" "1606909439999" "659101.24024512" "1145" "20.21650700" "386959.77387557" "0"
"1606909440000" "19149.66000000" "19159.44000000" "19135.33000000" "19143.53000000" "40.45323500" "1606909499999" "774562.34977032" "1227" "19.39963000" "371360.52612346" "0"
"1606909500000" "19143.53000000" "19145.00000000" "19130.97000000" "19145.00000000" "27.69320100" "1606909559999" "530062.38897696" "787" "17.86279300" "341883.94816958" "0"
"1606909560000" "19145.00000000" "19149.68000000" "19091.80000000" "19091.80000000" "61.07651200" "1606909619999" "1167339.02639652" "1264" "19.58518500" "374391.34671333" "0"
"1606909620000" "19091.81000000" "19103.25000000" "19080.08000000" "19086.69000000" "47.63091600" "1606909679999" "909426.26005982" "1430" "20.48878500" "391184.70047804" "0"
"1606909680000" "19086.69000000" "19088.91000000" "19069.34000000" "19082.37000000" "41.17071700" "1606909739999" "785451.78246485" "1102" "16.07067700" "306581.52887591" "0"
"1606909740000" "19082.36000000" "19093.72000000" "19068.85000000" "19092.35000000" "42.45283000" "1606909799999" "809963.79708477" "1043" "26.01949000" "496349.06163870" "0"
"1606909800000" "19092.36000000" "19124.91000000" "19080.38000000" "19112.13000000" "50.63256500" "1606909859999" "967444.71531108" "1185" "31.73709900" "606347.37686642" "0"
"1606909860000" "19112.13000000" "19112.13000000" "19085.23000000" "19097.57000000" "26.04081500" "1606909919999" "497295.11427047" "1056" "14.25586400" "272203.01477468" "0"
"1606909920000" "19097.57000000" "19114.81000000" "19091.64000000" "19107.20000000" "32.41674800" "1606909979999" "619269.63115101" "967" "14.36364500" "274378.88976610" "0"
"1606909980000" "19106.77000000" "19111.96000000" "19099.69000000" "19106.14000000" "11.94769800" "1606910039999" "228268.05206667" "994" "6.77373300" "129413.17804034" "0"
"1606910040000" "19106.14000000" "19120.00000000" "19097.91000000" "19120.00000000" "38.75903900" "1606910099999" "740651.48707729" "749" "22.35841000" "427236.49929792" "0"
"1606910100000" "19120.00000000" "19135.88000000" "19115.47000000" "19120.43000000" "28.27780400" "1606910159999" "540811.81226974" "929" "14.57750600" "278779.20413297" "0"
"1606910160000" "19120.44000000" "19131.31000000" "19110.25000000" "19113.66000000" "15.28529600" "1606910219999" "292307.13426767" "836" "10.84991600" "207489.77530401" "0"
"1606910220000" "19113.67000000" "19133.29000000" "19111.85000000" "19127.26000000" "17.29207000" "1606910279999" "330728.20374714" "822" "9.57271300" "183084.29536809" "0"
"1606910280000" "19127.38000000" "19147.85000000" "19127.38000000" "19146.73000000" "18.98489100" "1606910339999" "363367.64396599" "750" "11.08674600" "212199.19327255" "0"
"1606910340000" "19146.73000000" "19154.18000000" "19127.30000000" "19127.31000000" "50.79737600" "1606910399999" "972615.27506001" "1147" "18.46558500" "353576.36290949" "0"
"1606910400000" "19127.31000000" "19129.13000000" "19000.31000000" "19032.05000000" "220.16341600" "1606910459999" "4191938.75965216" "2696" "89.35960100" "1701694.17843636" "0"
"1606910460000" "19032.04000000" "19034.77000000" "18950.75000000" "18952.38000000" "241.89995400" "1606910519999" "4592980.56562099" "3133" "80.98733100" "1537422.47868894" "0"
"1606910520000" "18952.37000000" "19009.13000000" "18900.04000000" "18920.00000000" "185.67853200" "1606910579999" "3518376.98527049" "3016" "83.97448500" "1591390.05452412" "0"
"1606910580000" "18920.00000000" "18950.00000000" "18874.07000000" "18883.43000000" "156.26128000" "1606910639999" "2954066.28354349" "2918" "63.03372900" "1191813.50284563" "0"
"1606910640000" "18883.84000000" "18939.74000000" "18851.97000000" "18852.83000000" "212.64432800" "1606910699999" "4017975.03538876" "2467" "115.68284700" "2186515.80649441" "0"
"1606910700000" "18852.83000000" "18905.00000000" "18845.50000000" "18891.00000000" "147.84159700" "1606910759999" "2790734.70265000" "2153" "102.82177400" "1940926.79948796" "0"
"1606910760000" "18891.00000000" "18917.82000000" "18862.68000000" "18909.91000000" "77.64955300" "1606910819999" "1467616.04083928" "1882" "40.70830400" "769505.63168574" "0"
"1606910820000" "18909.91000000" "18971.47000000" "18909.91000000" "18965.19000000" "114.08684200" "1606910879999" "2161136.51398550" "2125" "66.73773400" "1264401.50806732" "0"
"1606910880000" "18965.19000000" "18978.73000000" "18896.16000000" "18913.11000000" "98.98853900" "1606910939999" "1873602.91089294" "1930" "31.24478300" "591333.27878434" "0"
"1606910940000" "18913.05000000" "18945.42000000" "18891.01000000" "18894.93000000" "80.98293500" "1606910999999" "1531970.74352323" "1877" "42.62793600" "806643.85642290" "0"
"1.606911e+12" "18892.56000000" "18948.29000000" "18871.59000000" "18933.45000000" "75.79619800" "1606911059999" "1433061.65543172" "1948" "46.36097700" "876568.92141039" "0"
"1606911060000" "18933.45000000" "18944.00000000" "18907.94000000" "18935.42000000" "83.11982700" "1606911119999" "1573570.91921777" "1633" "40.01999400" "757581.34259397" "0"
"1606911120000" "18935.41000000" "18937.08000000" "18894.88000000" "18930.64000000" "43.17669900" "1606911179999" "816807.31012774" "1463" "23.45004000" "443646.37318387" "0"
"1606911180000" "18930.17000000" "18937.26000000" "18890.04000000" "18906.25000000" "30.73950200" "1606911239999" "581437.36330361" "1120" "10.56948000" "199959.72303147" "0"
"1606911240000" "18906.25000000" "18944.00000000" "18899.58000000" "18940.00000000" "33.27919300" "1606911299999" "629938.45076974" "1290" "15.36822600" "290964.26317012" "0"
"1606911300000" "18940.00000000" "18969.49000000" "18910.67000000" "18913.41000000" "86.50087300" "1606911359999" "1638499.28863741" "1479" "74.59141100" "1412875.32463248" "0"
"1606911360000" "18915.42000000" "18929.37000000" "18896.57000000" "18903.48000000" "36.50381600" "1606911419999" "690453.36748741" "1117" "16.69501100" "315770.03255820" "0"
